phi=0.03, theta=0.06, zenith=0.03
phi=0.03, theta=0.19, zenith=0.03
phi=0.03, theta=0.32, zenith=0.03
phi=0.03, theta=0.45, zenith=0.03
phi=0.03, theta=0.58, zenith=0.03
phi=0.03, theta=0.71, zenith=0.02
phi=0.03, theta=0.83, zenith=0.02
phi=0.03, theta=0.96, zenith=0.02
phi=0.03, theta=1.09, zenith=0.01
phi=0.03, theta=1.22, zenith=0.01
phi=0.03, theta=1.35, zenith=0.01
phi=0.03, theta=1.47, zenith=0.00
phi=0.03, theta=4.81, zenith=0.00
phi=0.03, theta=4.94, zenith=0.01
phi=0.03, theta=5.07, zenith=0.01
phi=0.03, theta=5.19, zenith=0.01
phi=0.03, theta=5.32, zenith=0.02
phi=0.03, theta=5.45, zenith=0.02
phi=0.03, theta=5.58, zenith=0.02
phi=0.03, theta=5.71, zenith=0.03
phi=0.03, theta=5.83, zenith=0.03
phi=0.03, theta=5.96, zenith=0.03
phi=0.03, theta=6.09, zenith=0.03
phi=0.03, theta=6.22, zenith=0.03
phi=0.10, theta=0.06, zenith=0.10
phi=0.10, theta=0.19, zenith=0.09
phi=0.10, theta=0.32, zenith=0.09
phi=0.10, theta=0.45, zenith=0.09
phi=0.10, theta=0.58, zenith=0.08
phi=0.10, theta=0.71, zenith=0.07
phi=0.10, theta=0.83, zenith=0.06
phi=0.10, theta=0.96, zenith=0.05
phi=0.10, theta=1.09, zenith=0.04
phi=0.10, theta=1.22, zenith=0.03
phi=0.10, theta=1.35, zenith=0.02
phi=0.10, theta=1.47, zenith=0.01
phi=0.10, theta=4.81, zenith=0.01
phi=0.10, theta=4.94, zenith=0.02
phi=0.10, theta=5.07, zenith=0.03
phi=0.10, theta=5.19, zenith=0.04
phi=0.10, theta=5.32, zenith=0.05
phi=0.10, theta=5.45, zenith=0.06
phi=0.10, theta=5.58, zenith=0.07
phi=0.10, theta=5.71, zenith=0.08
phi=0.10, theta=5.83, zenith=0.09
phi=0.10, theta=5.96, zenith=0.09
phi=0.10, theta=6.09, zenith=0.09
phi=0.10, theta=6.22, zenith=0.10
phi=0.16, theta=0.06, zenith=0.16
phi=0.16, theta=0.19, zenith=0.16
phi=0.16, theta=0.32, zenith=0.15
phi=0.16, theta=0.45, zenith=0.14
phi=0.16, theta=0.58, zenith=0.13
phi=0.16, theta=0.71, zenith=0.12
phi=0.16, theta=0.83, zenith=0.11
phi=0.16, theta=0.96, zenith=0.09
phi=0.16, theta=1.09, zenith=0.07
phi=0.16, theta=1.22, zenith=0.06
phi=0.16, theta=1.35, zenith=0.04
phi=0.16, theta=1.47, zenith=0.02
phi=0.16, theta=4.81, zenith=0.02
phi=0.16, theta=4.94, zenith=0.04
phi=0.16, theta=5.07, zenith=0.06
phi=0.16, theta=5.19, zenith=0.07
phi=0.16, theta=5.32, zenith=0.09
phi=0.16, theta=5.45, zenith=0.11
phi=0.16, theta=5.58, zenith=0.12
phi=0.16, theta=5.71, zenith=0.13
phi=0.16, theta=5.83, zenith=0.14
phi=0.16, theta=5.96, zenith=0.15
phi=0.16, theta=6.09, zenith=0.16
phi=0.16, theta=6.22, zenith=0.16
phi=0.22, theta=0.06, zenith=0.22
phi=0.22, theta=0.19, zenith=0.22
phi=0.22, theta=0.32, zenith=0.21
phi=0.22, theta=0.45, zenith=0.20
phi=0.22, theta=0.58, zenith=0.19
phi=0.22, theta=0.71, zenith=0.17
phi=0.22, theta=0.83, zenith=0.15
phi=0.22, theta=0.96, zenith=0.13
phi=0.22, theta=1.09, zenith=0.10
phi=0.22, theta=1.22, zenith=0.08
phi=0.22, theta=1.35, zenith=0.05
phi=0.22, theta=1.47, zenith=0.02
